GeneWeaver ID	Entrez	Ensembl Gene	Ensembl Protein	Ensembl Transcript	Unigene	Gene Symbol	Unannotated	MGI	HGNC	RGD	ZFIN	FlyBase	Wormbase	SGD	miRBase	CGNC
70137	6622	ENSG00000145335	-	-	Hs.445879|Hs.41849|Hs.47711|Hs.92491|Hs.64071|Hs.108644|Hs.123753|Hs.76930|Hs.21682|Hs.288049|Hs.417233|Hs.99572|Hs.431189|Hs.558942|Hs.421992|Hs.571355|Hs.103533|Hs.225|Hs.21374|Hs.73941|Hs.78345|Hs.271771|Hs.169264|Hs.419071|Hs.135589	SNCA|PARK4|PARK1|NACP	-	-	HGNC:11138	-	-	-	-	-	-	-	
70401	7494	ENSG00000100219	-	-	Hs.437638|Hs.149923|Hs.830|Hs.75660|Hs.389177|Hs.172035|Hs.720587|Hs.173870|Hs.103237|Hs.723726|Hs.196697|Hs.43654|Hs.512983|Hs.220705|Hs.239233|Hs.549172|Hs.269338|Hs.722065|Hs.324396|Hs.218908|Hs.190081|Hs.304559|Hs.450093	XBP-1|TREB-5|XBP2|TREB5|XBP1	-	-	HGNC:12801	-	-	-	-	-	-	-	
71048	7124	ENSG00000204490|ENSG00000232810|ENSG00000223952|ENSG00000228849|ENSG00000228321|ENSG00000206439|ENSG00000230108|ENSG00000228978	-	-	Hs.172010|Hs.2037|Hs.104148|Hs.241570	TNF|DIF|TNF-alpha|TNLG1F|TNFSF2|TNFA	-	-	HGNC:11892	-	-	-	-	-	-	-	
71601	196	ENSG00000106546	-	-	Hs.150596|Hs.57903|Hs.101612|Hs.241|Hs.520685|Hs.362997|Hs.260693|Hs.113730|Hs.37180|Hs.79884|Hs.510512|Hs.542088|Hs.170087|Hs.171189|Hs.117828|Hs.153710|Hs.551321|Hs.529578|Hs.559550|Hs.555133|Hs.646150|Hs.558085|Hs.100957|Hs.706077|Hs.8913	AHR|bHLHe76|RP85	-	-	HGNC:348	-	-	-	-	-	-	-	
71890	5970	ENSG00000173039	-	-	Hs.168411|Hs.648942|Hs.420426|Hs.93271|Hs.502875|Hs.643858|Hs.598940|Hs.425690|Hs.372618|Hs.661663|Hs.190181|Hs.523801|Hs.726464|Hs.75569|Hs.432975|Hs.484|Hs.132594|Hs.152348	NFKB3|RELA|CMCU|p65	-	-	HGNC:9955	-	-	-	-	-	-	-	
72688	3298	ENSG00000025156	-	-	Hs.282838|Hs.229332|Hs.326417|Hs.1595|Hs.166857|Hs.826|Hs.126462|Hs.158195	HSTF 2|HSF 2|HSF2	-	-	HGNC:5225	-	-	-	-	-	-	-	
73356	3569	ENSG00000136244	-	-	Hs.240079|Hs.1512|Hs.654458|Hs.89906|Hs.89683|Hs.93913|Hs.89587|Hs.89588|Hs.89785|Hs.89561	IFNB2|CDF|HSF|IL-6|BSF-2|IFN-beta-2|BSF2|IL6	-	-	HGNC:6018	-	-	-	-	-	-	-	
74047	898	ENSG00000105173	-	-	Hs.244723|Hs.552703|Hs.76299|Hs.560380|Hs.412352|Hs.546862|Hs.9700|Hs.535473|Hs.83694	CCNE1|pCCNE1|CCNE	-	-	HGNC:1589	-	-	-	-	-	-	-	
74056	6555	ENSG00000125255	-	-	Hs.1543|Hs.143023|Hs.194783	SLC10A2|ASBT|NTCP2|PBAM|IBAT|ISBT	-	-	HGNC:10906	-	-	-	-	-	-	-	
76433	3091	ENSG00000100644	-	-	Hs.719495|Hs.597216|Hs.238084|Hs.96228|Hs.197540|Hs.82765|Hs.412416|Hs.89896|Hs.654600|Hs.154251|Hs.525382|Hs.426475|Hs.91350|Hs.3866|Hs.21246|Hs.228931|Hs.302338|Hs.3165|Hs.309538	HIF-1alpha|bHLHe78|HIF1-ALPHA|HIF-1A|PASD8|HIF-1-alpha|MOP1|HIF1|HIF1A	-	-	HGNC:4910	-	-	-	-	-	-	-	
76761	3553	ENSG00000125538	-	-	Hs.75717|Hs.695036|Hs.256436|Hs.151829|Hs.71246|Hs.844|Hs.652565|Hs.126256|Hs.95861|Hs.599253|Hs.643863	IL1B|IL1beta|IL1F2|IL-1|IL1-BETA	-	-	HGNC:5992	-	-	-	-	-	-	-	
77479	7421	ENSG00000111424	-	-	Hs.107741|Hs.89110|Hs.155484|Hs.482175|Hs.524368|Hs.55550|Hs.2062|Hs.111453	NR1I1|PPP1R163|VDR	-	-	HGNC:12679	-	-	-	-	-	-	-	
77600	1555	ENSG00000197408	-	-	Hs.106384|Hs.110194|Hs.73865|Hs.278616|Hs.259786|Hs.1359|Hs.76142|Hs.330780|Hs.1360|Hs.63498	CYP2B|CYP2B6|P450|IIB1|CYP2B7|CYPIIB6|EFVM|CPB6	-	-	HGNC:2615	-	-	-	-	-	-	-	
79957	1312	ENSG00000093010	-	-	Hs.89894|Hs.727042|Hs.95021|Hs.713616|Hs.60814|Hs.399778|Hs.702157|Hs.61189|Hs.110265|Hs.66036|Hs.429567|Hs.155412|Hs.113605|Hs.655877|Hs.298340|Hs.108545|Hs.79255|Hs.14636|Hs.64970|Hs.433910|Hs.153175|Hs.196255|Hs.90925|Hs.60648|Hs.218276|Hs.92585|Hs.27960|Hs.171900|Hs.645243|Hs.699354|Hs.328358|Hs.114739|Hs.416322|Hs.622801|Hs.326730|Hs.76718|Hs.423010|Hs.370408|Hs.431395|Hs.3158|Hs.206841|Hs.89895|Hs.707998|Hs.89893|Hs.414008|Hs.695976|Hs.458359|Hs.78534|Hs.700588|Hs.240013|Hs.800|Hs.653121|Hs.581077	HEL-S-98n|COMT	-	-	HGNC:2228	-	-	-	-	-	-	-	
80075	51343	ENSG00000105325	-	-	Hs.118556|Hs.467478|Hs.10090|Hs.206681|Hs.247621|Hs.126746|Hs.284225|Hs.515679|Hs.127057|Hs.219537|Hs.55283|Hs.58072|Hs.169734|Hs.112935|Hs.550468|Hs.656901|Hs.25120|Hs.90638|Hs.278410|Hs.227879|Hs.268384|Hs.148253|Hs.413133|Hs.61732|Hs.586466	CDC20C|HCDH1|FZR|FZR2|FZR1	-	-	HGNC:24824	-	-	-	-	-	-	-	
80086	7415	ENSG00000165280	-	-	Hs.106357|Hs.529782|Hs.51836|Hs.111327|Hs.79594|Hs.54521|Hs.91168|Hs.234463|Hs.75598|Hs.63608|Hs.62483|Hs.51956|Hs.101297|Hs.522096|Hs.234969|Hs.145722|Hs.8544|Hs.522098|Hs.672204|Hs.350166|Hs.706115|Hs.408723|Hs.75047|Hs.55765|Hs.154288|Hs.86820|Hs.22131|Hs.736779|Hs.8465|Hs.308004|Hs.6024|Hs.248852|Hs.62168|Hs.91197|Hs.701276|Hs.166591	p97|CDC48|TERA|VCP	-	-	HGNC:12666	-	-	-	-	-	-	-	
80971	1977	ENSG00000151247	-	-	Hs.110029|Hs.558324|Hs.518442|Hs.62736|Hs.261230|Hs.400684|Hs.230334|Hs.86297|Hs.247320|Hs.98335|Hs.249718|Hs.48681|Hs.79306|Hs.281664|Hs.660530|Hs.16001|Hs.200535|Hs.100219|Hs.458556|Hs.463379|Hs.235460|Hs.356785|Hs.165211|Hs.349602|Hs.6155|Hs.596163|Hs.266259|Hs.3159|Hs.457514|Hs.457515|Hs.154932|Hs.216361|Hs.301369|Hs.171783|Hs.98903	EIF4E|AUTS19|EIF4E1|EIF4EL1|eIF-4E	-	-	HGNC:3287	-	-	-	-	-	-	-	
81522	1649	ENSG00000175197	-	-	Hs.129913|Hs.505777|Hs.413189|Hs.7082|Hs.44442|Hs.51567|Hs.534229|Hs.442323|Hs.731299|Hs.728989|Hs.690217|Hs.400353|Hs.271821|Hs.414744|Hs.85197|Hs.728056|Hs.429928|Hs.378089|Hs.295156|Hs.707546|Hs.392171|Hs.409087|Hs.406544|Hs.80441|Hs.62064|Hs.676820|Hs.337761|Hs.84256	DDIT3|C/EBPzeta|CHOP10|GADD153|CHOP|CHOP-10|AltDDIT3	-	-	HGNC:2726	-	-	-	-	-	-	-	
81726	3576	ENSG00000169429	-	-	Hs.89481|Hs.632880|Hs.89697|Hs.624|Hs.94639|Hs.94758|Hs.74467|Hs.94755|Hs.94637|Hs.97028|Hs.230924|Hs.97026|Hs.590922|Hs.559623|Hs.90320|Hs.97117	LECT|NAF|GCP1|MDNCF|LUCT|NAP-1|GCP-1|NAP1|LYNAP|IL8|MONAP|CXCL8	-	-	HGNC:6025	-	-	-	-	-	-	-	
81787	1734	ENSG00000211448	-	-	Hs.65868|Hs.13037|Hs.152995|Hs.27611|Hs.44804|Hs.202354|Hs.127593|Hs.154424|Hs.436020|Hs.79118|Hs.527790|Hs.42263	SelY|D2|DIOII|TXDI2|DIO2|5DII	-	-	HGNC:2884	-	-	-	-	-	-	-	
84357	2643	ENSG00000131979	-	-	Hs.2289|Hs.86724|Hs.455917	GCH1|GTP-CH-1|GCH|DYT5a|GTPCH1|DYT5|DYT14|HPABH4B	-	-	HGNC:4193	-	-	-	-	-	-	-	
84375	6794	ENSG00000118046	-	-	Hs.368992|Hs.196095|Hs.122755|Hs.198830|Hs.324824|Hs.301772|Hs.183116|Hs.301936|Hs.143469|Hs.386872|Hs.216864|Hs.136457|Hs.308541|Hs.423099|Hs.143072|Hs.3730|Hs.61873|Hs.75509|Hs.111880|Hs.155647|Hs.515005	PJS|LKB1|hLKB1|STK11	-	-	HGNC:11389	-	-	-	-	-	-	-	
84486	4780	ENSG00000116044	-	-	Hs.516541|Hs.744006|Hs.715540|Hs.430150|Hs.98797|Hs.353467|Hs.623031|Hs.60155|Hs.562884|Hs.680142|Hs.661872|Hs.588033|Hs.8338|Hs.69310|Hs.78975|Hs.128899|Hs.42305|Hs.433792|Hs.15296|Hs.237395|Hs.433500|Hs.108628|Hs.100612|Hs.406403|Hs.724456	NFE2L2|Nrf-2|IMDDHH	-	-	HGNC:7782	-	-	-	-	-	-	-	
85191	1591	ENSG00000019186	-	-	Hs.153826|Hs.198092|Hs.296905|Hs.117911|Hs.53702|Hs.89663|Hs.214015|Hs.2140|Hs.300173|Hs.721593	HCAI|CYP24|HCINF1|P450-CC24|CP24|CYP24A1	-	-	HGNC:2602	-	-	-	-	-	-	-	
85234	4792	ENSG00000100906	-	-	Hs.50979|Hs.740819|Hs.218156|Hs.419428|Hs.721934|Hs.711118|Hs.81328|Hs.94700|Hs.62195|Hs.298092|Hs.416436|Hs.568315|Hs.262|Hs.731016	MAD-3|IKBA|EDAID2|NFKBI|NFKBIA	-	-	HGNC:7797	-	-	-	-	-	-	-	
85284	1052	ENSG00000221869	-	-	Hs.46787|Hs.442156|Hs.702131|Hs.658882|Hs.703750|Hs.63508|Hs.90651|Hs.699522|Hs.538|Hs.697923|Hs.301839|Hs.696229|Hs.712748|Hs.554732|Hs.110425|Hs.202833|Hs.54671|Hs.82504|Hs.76722|Hs.233892|Hs.99946|Hs.426867|Hs.236267|Hs.1826|Hs.521572|Hs.110458|Hs.440829	CEBPD|CRP3|CELF|C/EBP-delta|NF-IL6-beta	-	-	HGNC:1835	-	-	-	-	-	-	-	
85691	1576	ENSG00000160868	-	-	Hs.489295|Hs.118475|Hs.728751|Hs.418187|Hs.178738|Hs.372389|Hs.695915|Hs.45|Hs.284679|Hs.51905|Hs.111944|Hs.75583|Hs.511176|Hs.323746|Hs.571258|Hs.172323|Hs.442527|Hs.329704|Hs.104117|Hs.308638|Hs.283744|Hs.567254|Hs.654391	HLP|CP34|CYP3A|CYP3A3|CYPIIIA3|P450PCN1|CP33|P450C3|NF-25|CYP3A4|CYPIIIA4	-	-	HGNC:2637	-	-	-	-	-	-	-	
85785	351	ENSG00000142192	-	-	Hs.17884|Hs.434980|Hs.584|Hs.103656|Hs.415393|Hs.697488|Hs.511758|Hs.55866|Hs.182244|Hs.592154|Hs.433451|Hs.350086|Hs.68704|Hs.695922|Hs.75442|Hs.74600|Hs.53898|Hs.210941|Hs.700570|Hs.71195|Hs.103045|Hs.651215|Hs.55835|Hs.177486|Hs.177485|Hs.703842|Hs.642685|Hs.722093|Hs.693586|Hs.473491|Hs.158762|Hs.108624|Hs.369715|Hs.288944|Hs.1711|Hs.6120|Hs.703263|Hs.344901|Hs.356561|Hs.96158|Hs.455438|Hs.236205|Hs.706742|Hs.698014	CTFgamma|APPI|APP|preA4|PN2|ABPP|ABETA|AAA|CVAP|AD1|PN-II	-	-	HGNC:620	-	-	-	-	-	-	-	
86179	1499	ENSG00000168036	-	-	Hs.457668|Hs.476018|Hs.421151|Hs.3140|Hs.168660|Hs.58464|Hs.395714|Hs.698149|Hs.288201|Hs.153536|Hs.292529|Hs.421386|Hs.278809|Hs.703986|Hs.262039|Hs.410086|Hs.106706|Hs.171271|Hs.352457|Hs.276187|Hs.26728|Hs.71765|Hs.376273|Hs.476017|Hs.272904|Hs.117194|Hs.339756|Hs.304177|Hs.382858|Hs.157982	NEDSDV|CTNNB|armadillo|EVR7|MRD19|CTNNB1	-	-	HGNC:2514	-	-	-	-	-	-	-	
87326	4843	ENSG00000007171	-	-	Hs.75126|Hs.709191|Hs.193788|Hs.700571|Hs.654409|Hs.153775|Hs.706746|Hs.51023|Hs.462525|Hs.694724	NOS2A|INOS|HEP-NOS|NOS2	-	-	HGNC:7873	-	-	-	-	-	-	-	
88669	9804	ENSG00000173726	-	-	Hs.2462|Hs.155552|Hs.503334|Hs.355968|Hs.567910|Hs.732315|Hs.355967|Hs.420880|Hs.449505|Hs.591515|Hs.512250|Hs.515716|Hs.587683|Hs.75187|Hs.28081|Hs.520686|Hs.100047|Hs.457762|Hs.562342|Hs.349514|Hs.533192|Hs.349515	TOM20|MAS20|MOM19|TOMM20	-	-	HGNC:20947	-	-	-	-	-	-	-	
88864	8626	ENSG00000073282	-	-	Hs.207137|Hs.552089|Hs.83858|Hs.378343|Hs.103370|Hs.137569|Hs.103261|Hs.554339|Hs.549945|Hs.103170|Hs.25246|Hs.105030|Hs.194739|Hs.104326|Hs.449283	TP63|p51|B(p51A)|p53CP|p73L|p73H|EEC3|TP53CP|B(p51B)|SHFM4|TP53L|RHS|LMS|TP73L|OFC8|KET	-	-	HGNC:15979	-	-	-	-	-	-	-	
89086	51035	ENSG00000162191	-	-	Hs.263137|Hs.147196|Hs.427358|Hs.103672|Hs.351296|Hs.331938|Hs.958|Hs.413967|Hs.77868|Hs.409569|Hs.217655|Hs.158184|Hs.386662	UBXN1|SAKS1|2B28|UBXD10	-	-	HGNC:18402	-	-	-	-	-	-	-	
89187	5054	ENSG00000106366	-	-	Hs.90481|Hs.290922|Hs.1851|Hs.624981|Hs.91630|Hs.381009|Hs.56101|Hs.119000|Hs.53661|Hs.82085|Hs.100025|Hs.414795|Hs.114528|Hs.95763|Hs.400429|Hs.9612|Hs.583759|Hs.2519|Hs.71794|Hs.92188|Hs.296868|Hs.741440|Hs.92311|Hs.75997	SERPINE1|PAI-1|PAI|PAI1|PLANH1	-	-	HGNC:8583	-	-	-	-	-	-	-	
89324	338	ENSG00000084674	-	-	Hs.430528|Hs.296514|Hs.296515|Hs.350087|Hs.35153|Hs.16456|Hs.100548|Hs.66554|Hs.16416|Hs.49556|Hs.146598|Hs.585|Hs.586|Hs.120759|Hs.280226|Hs.13696|Hs.296895|Hs.155083|Hs.35410|Hs.153912|Hs.151562|Hs.81272|Hs.151324|Hs.433808|Hs.151389|Hs.62456|Hs.48155|Hs.100779|Hs.15677|Hs.356562|Hs.430159|Hs.114684|Hs.15717|Hs.17510|Hs.54071|Hs.515824|Hs.19793	apoB-48|FCHL2|APOB|LDLCQ4|FLDB|apoB-100	-	-	HGNC:603	-	-	-	-	-	-	-	
89330	3684	ENSG00000169896	-	-	Hs.51081|Hs.172631|Hs.1763|Hs.152430|Hs.299591|Hs.195584|Hs.197521|Hs.8991|Hs.104931|Hs.155910|Hs.269359	ITGAM|SLEB6|CD11B|MAC1A|CR3A|MAC-1|MO1A	-	-	HGNC:6149	-	-	-	-	-	-	-	
89823	2744	ENSG00000115419	-	-	Hs.239189|Hs.144602|Hs.457286|Hs.470939|Hs.737608|Hs.470995|Hs.367816|Hs.177467|Hs.554232|Hs.233997|Hs.128410|Hs.172841|Hs.237839|Hs.542486|Hs.114925|Hs.173630|Hs.79563|Hs.100038|Hs.214961|Hs.455725|Hs.3627|Hs.68837|Hs.401558|Hs.17155|Hs.30609|Hs.67700|Hs.220239|Hs.125733|Hs.411597|Hs.536710|Hs.266407|Hs.148244|Hs.25416|Hs.88590|Hs.60135|Hs.124917|Hs.557293|Hs.172839|Hs.69829|Hs.116448|Hs.191490|Hs.284195|Hs.130586|Hs.23327	GLS1|GLS|GDPAG|GAC|KGA|AAD20|GAM|EIEE71|CASGID	-	-	HGNC:4331	-	-	-	-	-	-	-	
90192	3458	ENSG00000111537	-	-	Hs.856|Hs.150562	IFI|IFNG|IFG	-	-	HGNC:5438	-	-	-	-	-	-	-	
92266	5579	ENSG00000166501	-	-	Hs.155337|Hs.94527|Hs.356590|Hs.1877|Hs.405836|Hs.77767|Hs.349845|Hs.2889|Hs.25781|Hs.429340|Hs.649778|Hs.352385|Hs.77202|Hs.298800|Hs.572309|Hs.594169|Hs.417510|Hs.16113|Hs.460355|Hs.593759|Hs.33000|Hs.79308|Hs.6749|Hs.644196|Hs.211854|Hs.112832|Hs.723028|Hs.420344|Hs.152450|Hs.80601	PRKCB2|PRKCB1|PKCbeta|PKCI(2)|PKCB|PKC-beta|PRKCB	-	-	HGNC:9395	-	-	-	-	-	-	-	
93426	3309	ENSG00000044574	-	-	Hs.644987|Hs.632687|Hs.697372|Hs.145829|Hs.708578|Hs.694094|Hs.703139|Hs.98789|Hs.283853|Hs.559133|Hs.14842|Hs.649467|Hs.127095|Hs.548512|Hs.559684|Hs.728157|Hs.703259|Hs.522394|Hs.257102|Hs.716396|Hs.187948|Hs.586582|Hs.724412|Hs.220596|Hs.344320|Hs.149815|Hs.415345|Hs.726679|Hs.368680|Hs.75410|Hs.229324|Hs.176889|Hs.5329|Hs.697483|Hs.177592|Hs.265729|Hs.161794|Hs.384940|Hs.728649|Hs.310769|Hs.301374|Hs.174076|Hs.743241	HSPA5|HEL-S-89n|GRP78	-	-	HGNC:5238	-	-	-	-	-	-	-	
94394	23645	ENSG00000087074	-	-	Hs.76556|Hs.204857|Hs.697868|Hs.64066|Hs.515523|Hs.703060|Hs.92282|Hs.110913|Hs.294872|Hs.219792|Hs.526542|Hs.573043|Hs.132597|Hs.226709|Hs.697292|Hs.316526|Hs.631593|Hs.703686|Hs.11486	GADD34|PPP1R15A	-	-	HGNC:14375	-	-	-	-	-	-	-	
94466	5009	ENSG00000036473	-	-	Hs.1842|Hs.143376|Hs.117050|Hs.133793	OTC	-	-	HGNC:8512	-	-	-	-	-	-	-	
94808	9970	ENSG00000143257	-	-	Hs.659461|Hs.82823|Hs.105991|Hs.2858|Hs.321653|Hs.262498|Hs.705696|Hs.349642|Hs.217683|Hs.453953|Hs.268398|Hs.382130|Hs.288110	NR1I3|CAR1|MB67	-	-	HGNC:7969	-	-	-	-	-	-	-	
96203	3297	ENSG00000185122|ENSG00000284774	-	-	Hs.530227|Hs.229820|Hs.547166|Hs.155588|Hs.616996|Hs.626150|Hs.94539|Hs.600613|Hs.308464|Hs.551799|Hs.434042|Hs.289627|Hs.559509|Hs.613075|Hs.613132|Hs.535936|Hs.719681|Hs.547165|Hs.263282|Hs.82194|Hs.409670|Hs.19825|Hs.239325|Hs.244633|Hs.425409|Hs.653461|Hs.273059|Hs.626921|Hs.625248|Hs.148049|Hs.597586|Hs.719613|Hs.571545|Hs.132625|Hs.65997|Hs.653899|Hs.1499|Hs.521955|Hs.380935|Hs.549704|Hs.555419|Hs.357988|Hs.386821|Hs.537045|Hs.55355|Hs.302137|Hs.615413	HSF1	-	-	HGNC:5224	-	-	-	-	-	-	-	
96571	596	ENSG00000171791	-	-	Hs.633646|Hs.257771|Hs.709992|Hs.151483|Hs.150749|Hs.82686|Hs.1266|Hs.720968|Hs.501181|Hs.592350|Hs.395714|Hs.615|Hs.597023|Hs.79241|Hs.591067|Hs.89534|Hs.644751|Hs.99916	Bcl-2|PPP1R50|BCL2	-	-	HGNC:990	-	-	-	-	-	-	-	
97193	6647	ENSG00000142168	-	-	Hs.306017|Hs.76293|Hs.20714|Hs.473594|Hs.53318|Hs.330903|Hs.380446|Hs.443914|Hs.451567|Hs.2977|Hs.1109|Hs.60402|Hs.239229|Hs.24402|Hs.100377|Hs.538384|Hs.449556|Hs.75428|Hs.665071|Hs.26891|Hs.490290|Hs.120637|Hs.310583|Hs.216780|Hs.655098|Hs.114538|Hs.415753	HEL-S-44|SOD|ALS1|homodimer|hSod1|STAHP|IPOA|SOD1	-	-	HGNC:11179	-	-	-	-	-	-	-	
